ADM1_NAME,ADM2_NAME,ADM2_CODE,NDVI_mean,NDVI_stdDev,NDBI_mean,NDBI_stdDev,urban_gradient_mean
Sulawesi Tengah,Tojounauna,73872,0.7608553916876719,0.2056229366629892,-0.32750643234136373,0.1888406402298857,-1.0984987161149353
Sulawesi Tenggara,Bombana,73659,0.6963214887133484,0.20769571736643713,-0.25641512324871635,0.1791073032831946,-0.9529390952644695
Sulawesi Tenggara,Buton,73666,0.6431976344807292,0.23146755566156763,-0.25130932796997874,0.16382334233288698,-0.8970013718447576
Sulawesi Tenggara,Kolaka Utara,73702,0.4258062758554178,0.3194115999172669,-0.23675279308520897,0.1153722649819231,-0.6627006263969765
Sulawesi Tenggara,Kolaka,73703,0.6637021180816112,0.24988395949367706,-0.29527939285648186,0.1269565983596582,-0.9598309085602267
Sulawesi Tenggara,Wakatobi,73876,0.6213227170937051,0.32318850246557973,-0.21121561804947123,0.24857714763868832,-0.840360765284186
Sumatera Barat,Dharmasraya,73670,0.7129000647542891,0.19513829857007572,-0.3020046787786949,0.09031563267622958,-1.0149008165888416
Sumatera Barat,Kota Pasaman,73745,0.796579227088354,0.13509461683027,-0.37499580012632616,0.07839334338250857,-1.1715738435935976
Sumatera Barat,Kota Pasaman Barat,73822,0.7694224300558381,0.1927632433669274,-0.36083407625146463,0.09530324200462287,-1.130252456747251
Sumatera Barat,Sawahlunto/sijunjung,73842,0.8039887379218712,0.13502939160993868,-0.36984078254298997,0.07231614393826787,-1.1737897150023497
Sumatera Barat,Solok Selatan,73852,0.7635020737826964,0.16380382355386902,-0.3545987827399675,0.0822677959167391,-1.1181005564061397
Sumatera Barat,Solok,73853,0.731244774416125,0.17592904728362624,-0.3453284251218014,0.08865277966488234,-1.0765773573323667
Sumatera Utara,Deli Serdang,73669,,,,,
Sumatera Utara,Samosir,73838,0.7387668831769373,0.12582922716958386,-0.30733823350978395,0.08506148069471034,-1.046105275020792
Sumatera Utara,Serdang Bedagai,73847,0.6996634432192074,0.2007412387014835,-0.3578530772706842,0.08719922771492933,-1.0575165204898898
Sumatera Utara,Toba Samosir,73871,0.7152488652139568,0.22966728595999095,-0.3323860836695292,0.10496317993544291,-1.0499362211392578
Papua Barat,Supiori,73859,0.5598025440226657,0.335396736986597,-0.3178267258069109,0.2026055835184258,-0.8980030753548346
Kepulauan-riau,Kepulauan-riau,73698,0.5474178814637057,0.3376599309321749,-0.26880762145665704,0.22930096116321477,-0.8258814000292255
Kepulauan-riau,Lingga,73776,0.6742977570969747,0.3229414148628781,-0.3585286958067487,0.17227977431937136,-1.0342105888489828
Maluku,Kepulauan-aru,73697,0.70438455164839,0.2887527594816668,-0.3857395650979583,0.15830587878307584,-1.0908656375733645
Maluku,Maluku Tengah,73781,0.6984714598671214,0.2690008663311961,-0.35775930739079287,0.13853045307724146,-1.06053450184622
Maluku,Maluku Tenggara,73783,0.4554086084458784,0.35265006271775245,-0.23037790344877912,0.23014528616539198,-0.7021932538645492
Maluku,Seram Bagian Barat,73845,0.6930199393475992,0.29866208004808714,-0.3591298161032334,0.1691782553093105,-1.0585080411896284
Maluku,Seram Bagian Timur,73846,0.6729815823022356,0.2768820552639986,-0.3424346810851137,0.15626027199328577,-1.0174556070227745
Papua,Biaknumfor,73655,0.6140330500961396,0.32263586745795225,-0.2928682732286307,0.2319284539759988,-0.9225732467537284
Sulawesi Utara,Minahasa Utara,73799,0.7489923955841085,0.18747782210506037,-0.33392375695450655,0.1446371152030533,-1.0864244512498296
Sulawesi Utara,Minahasa,73800,0.6855015884948946,0.21513981844144375,-0.3167933838697185,0.13641205013004798,-1.0029205936733627
Sumatera Selatan,Ogan Ilir,73814,0.6563539976949605,0.1591521776800723,-0.1758651861311279,0.14705232915796698,-0.8322125695592852
Sumatera Selatan,Ogan Komering Ilir,73815,0.6727318586953012,0.2051847496248563,-0.2810762379014044,0.1604738003739852,-0.9537272163167628
Sumatera Selatan,Ogan Komering Ulu Selatan,73816,0.7577129628442454,0.16290076830098757,-0.2972363677633055,0.14240415414112054,-1.0574602877603414
Sumatera Selatan,Ogan Komering Ulu Timur,73817,0.6774858606556359,0.15402527416102696,-0.23808728280011263,0.09059152508897031,-0.9155731434557507
Sumatera Selatan,Ogan Komering Ulu,73818,0.782556413571876,0.11443790382656675,-0.2983783346058045,0.08816663333742131,-1.0809347481776783
Nangroe Aceh Darussalam,Aceh Besar,17960,0.6949776504740061,0.2257026233572484,-0.3076787458183772,0.15954555176177238,-1.006393192208692
Nangroe Aceh Darussalam,Kota Sabang,17967,0.7147161325383412,0.2153827325267598,-0.3225209158375097,0.19862303289899447,-1.0510132643926282
Nangroe Aceh Darussalam,Pidie,17968,0.7125386284827911,0.2567095440666104,-0.3526590541410979,0.1124394828308267,-1.065263797386607
Nangroe Aceh Darussalam,Aceh Singkil,73627,0.5903367098011761,0.2727728676802679,-0.33688845605575113,0.15405301427218052,-0.9310804318007881
Nangroe Aceh Darussalam,Kota Bandaaceh,73705,0.4230452934899644,0.1795356964442188,-0.10938911679032289,0.10187805183526955,-0.5324393603530523
Bali,Badung,17969,0.5533682520538894,0.1878228353345575,-0.1798260501976996,0.13944762846416534,-0.7331974729622189
Bali,Bangli,17970,0.5694056862257716,0.2521449812047771,-0.21765988451484639,0.1263029036663408,-0.7870655707406177
Bali,Buleleng,17971,0.70422973602612,0.16736602610560344,-0.27658357724216,0.1344571140767111,-0.9815937352446489
Bali,Gianyar,17972,0.4850271347707433,0.2126242868181886,-0.2017593113960477,0.10308132183558467,-0.6868403974147471
